Column Name	#	Data Type	Not Null	Auto Increment	Key	Default	Extra	Expression	Comment
uuid	1	varchar(45)	true	false	PRI	[NULL]		[NULL]
term_dttm	2	datetime	true	false	PRI	[NULL]		[NULL]
processor	3	varchar(32)	true	false	PRI	[NULL]		[NULL]
trace_id	4	varchar(15)	false	false	[NULL]	NULL		[NULL]
card_issuer_fiid	5	varchar(8)	false	false	[NULL]	NULL		[NULL]
card_logical_network	6	varchar(8)	false	false	[NULL]	NULL		[NULL]
issuer_preauth_token	7	varchar(32)	false	false	[NULL]	NULL		[NULL]
processor_group	8	varchar(128)	false	false	[NULL]	NULL		[NULL]
dst_stan	9	int(11)	false	false	[NULL]	NULL		[NULL]
rrn	10	varchar(32)	false	false	[NULL]	NULL		[NULL]
acquiring_ident_code	11	varchar(16)	true	false	[NULL]	[NULL]		[NULL]
forwarding_ident_code	12	varchar(16)	false	false	[NULL]	NULL		[NULL]
issuer_id_term	13	varchar(32)	false	false	[NULL]	NULL		[NULL]
issuer_id_merch	14	varchar(32)	false	false	[NULL]	NULL		[NULL]
issuer_resp_message	15	varchar(255)	false	false	[NULL]	NULL		[NULL]
issuer_resp_code	16	varchar(8)	false	false	[NULL]	NULL		[NULL]
issuer_id_merch_alter	17	varchar(256)	false	false	[NULL]	NULL		[NULL]
issuer_id_term_alter	18	varchar(32)	false	false	[NULL]	NULL		[NULL]
conn_name	19	varchar(32)	false	false	[NULL]	NULL		[NULL]
iss_trx_id	20	varchar(64)	false	false	[NULL]	NULL		[NULL]
state_settlement	21	varchar(16)	true	false	[NULL]	[NULL]		[NULL]
settlement_filename	22	varchar(63)	false	false	[NULL]	NULL		[NULL]
sca_issuer_rc	23	varchar(8)	false	false	[NULL]	'NONESCA'		[NULL]
response_data	24	varchar(2048)	false	false	[NULL]	NULL		[NULL]
response_data2	25	varchar(2048)	false	false	[NULL]	NULL		[NULL]
response_data3	26	varchar(2048)	false	false	[NULL]	NULL		[NULL]
response_data4	27	varchar(2048)	false	false	[NULL]	NULL		[NULL]
response_data5	28	varchar(2048)	false	false	[NULL]	NULL		[NULL]
used_sub_seq_route	29	varchar(15)	false	false	[NULL]	NULL		[NULL]
varc	30	varchar(64)	false	false	[NULL]	NULL		[NULL]
par	31	varchar(64)	false	false	[NULL]	NULL		[NULL]
embossed_cof	32	varchar(64)	false	false	[NULL]	NULL		[NULL]
processor_id	33	varchar(64)	false	false	[NULL]	NULL		[NULL]
tlid	34	varchar(30)	false	false	[NULL]	NULL		[NULL]
scheme_period_date	35	date	false	false	[NULL]	NULL		[NULL]
scheme_period_number	36	int(11)	false	false	[NULL]	NULL		[NULL]
out_chan_response_dttm	37	datetime	false	false	[NULL]	NULL		[NULL]
processor_dttm	38	datetime	false	false	[NULL]	NULL		[NULL]
sub_processor	39	varchar(32)	false	false	[NULL]	NULL		[NULL]
merchant_advice_code	40	varchar(2)	false	false	[NULL]	NULL		[NULL]
